CMPD_CHEMBLID,exp,smiles,transformed_solubility,transformed_smiles
CHEMBL1824040,0.37,CC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,68.83333333333333,AA{~B}araaasBAA{~B}D{AADtAAA{AAt}DAauaaavBAA{~B}Davdu}asar
CHEMBL569,0.0,CCN(CC)CCOC(=O)c1ccc(N)cc1,75.0,AAD{AA}AABA{~B}araaa{D}aar
CHEMBL515839,2.82,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)CC4CCCO4)n2,28.000000000000004,AA{A}dra{A}daarasaada{Dataaa{aat}E{~B}{~B}AAuAAABu}ds
CHEMBL2207655,2.54,CC1(O)CN(C1)S(=O)(=O)c2ccc3C(=CNC(=O)c3c2)C(=O)NC[C@@H](O)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,32.666666666666664,AAr{B}AD{Ar}E{~B}{~B}asaaatA{~ADA{~B}atas}A{~B}DA{A**H}{B}ADuAAA{AAu}Bavaaa{Z}a{Z}av
CHEMBL789,0.97,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,58.833333333333336,DA{Aaraa{H}a{Basaaa{B}a{H}as}a{H}ar}A{~B}B
CHEMBL51931,2.6,O=C1C(=O)c2ccccc2c3ccccc13,31.666666666666668,B~ArA{~B}asaaaaasataaaaart
CHEMBL235789,1.84,Clc1ccc(CN2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4,44.333333333333336,Zaraaa{ADsAADAAs}aarA{~B}DAAtuAAvAA{AA{Av}At}Au
CHEMBL443684,0.64,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,64.33333333333333,AAr{A}AAA{~A{ADsAAD{AAs}ataaa{aat}A{~B}DE{~B}{~B}auaaa{D{A*H}{AADvAABAAv}AEawaaaaaw}a{au}E{~B}{~B}A{G}{G}G}Ar}axaaa{Z}aax
CHEMBL273235,2.4,Fc1ccc(cc1)n2cc(C3CCNCC3)c4cc(Cl)ccc24,35.0,Garaaa{aar}dsaa{AtAADAAt}auaa{Z}aaasu
CHEMBL1270671,3.52,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ccoc34)n2)c1,16.333333333333332,AE{~B}{~B}araaaa{Dasdaaa{Dataaaauaabatu}ds}ar
CHEMBL2152906,4.4,CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cc(ccn5)C#CC,1.6666666666666607,AADrA~A{A~A{A}Ar~B}{A**}s{D~A{D}ata{G}aaaast}auaaaa{au}avaa{aadv}A^AA
CHEMBL11336,1.82,COC(=O)NC1=CN=C(N(CC(=O)NC(C(C)C)C(=O)C(F)(F)F)C1=O)c2ccc(F)cc2,44.666666666666664,ABA{~B}DAr~AD~A{D{AA{~B}DA{A{A}A}A{~B}A{G}{G}G}Ar~B}asaaa{G}aas
CHEMBL2315158,1.9,CCCCNc1nc(N)c2NC(=O)N(Cc3ccc(OCCN(C)C)nc3)c2n1,43.333333333333336,AAAADarda{D}asDA{~B}D{Aataaa{BAAD{A}A}dat}asdr
CHEMBL1762,-0.15,CC(N)C(=O)Nc1c(C)cccc1C,77.50000000000001,AA{D}A{~B}Dara{A}aaaarA
CHEMBL550777,1.19,NC1CCN(CC1)c2nccc(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2Cl,55.166666666666664,DArAAD{AAr}asdaaa{A{~B}DAAtuAAvAA{AA{Av}At}Au}asZ
CHEMBL1163879,2.92,COc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3,26.333333333333332,ABaraaa{aar}A{~B}DsAAA{AAs}A{~B}ataaa{G}aat
CHEMBL554169,1.02,Cc1ccc(OC(=O)N2CCN3CCC2CC3)cc1,58.0,Aaraaa{BA{~B}DsAADtAAAsAAt}aar
CHEMBL2062564,3.44,CC(=O)Nc1ccc2cnn(c3cc(NC4CC4)n5ncc(C#N)c5n3)c2c1,17.666666666666668,AA{~B}Daraaasadd{ataa{DAuAAu}dvdaa{A^D}avdt}asar
CHEMBL561339,0.77,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc4ccccc24)c(O)c1,62.166666666666664,AAD{AA}A{~B}araaa{As~AAt{AADAAt}Bauaaaaasu}a{B}ar
CHEMBL1682810,3.8,CN1CCOc2nc(ccc12)C#Cc3ccccc3,11.66666666666667,ADrAABasda{aaars}A^Aataaaaat
CHEMBL1536083,4.03,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c2ccc(Cl)cc2,7.833333333333329,AABA{~B}AD{araaaaarA}E{~B}{~B}asaaa{Z}aas
CHEMBL1950730,1.32,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(C2)C(=O)Cc3ccccc3,53.0,AD{A**H}{A}A{~B}D{A**H}{ArAAAAAr}A{~B}D{A*H}sAAAD{As}A{~B}Aataaaaat
CHEMBL60066,1.38,[O-][n+]1cc(ccc1Cl)C(=O)Nc2ccc(F)cc2,52.0,{BM}{dP}raa{aaarZ}A{~B}Dasaaa{G}aas
CHEMBL1927039,3.01,N#Cc1ccc(Nc2nccc(NC3CC3)n2)cc1,24.83333333333334,D^Aaraaa{Dasdaaa{DAtAAt}ds}aar
CHEMBL403813,1.22,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCC4)cc3C#N,54.666666666666664,DaraaaaarDA{~B}asaaa{aas}atdaa{ADuAAAu}aatA^D
CHEMBL2086688,2.3,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OCC(F)F,36.66666666666667,A{A**H}rAD{AADrasdaa{BAataadaatA^D}ads}A{~B}BAA{G}G
CHEMBL430507,2.4,CN(C)CC(O)COc1ccc(Nc2nccc(n2)N(CC#N)c3cc(Cl)ccc3Cl)cc1,35.0,AD{A}AA{B}ABaraaa{Dasdaaa{ds}D{AA^D}ataa{Z}aaatZ}aar
CHEMBL1762536,3.8,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCC4)n1)c5cc(CO)ccc5C,11.66666666666667,AD{araada{Dasaa{aa{as}DtAABAAt}DuAAAAu}dr}avaa{AB}aaavA
CHEMBL87277,3.97,Cn1nc(cc1NC(=O)Nc2ccc(Cl)cc2)C(C)(C)C,8.83333333333333,Adrda{aarDA{~B}Dasaaa{Z}aas}A{A}{A}A
CHEMBL878,1.64,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N,47.66666666666668,AArDasaa{Z}a{aasA{~B}DrataaaaatA}E{~B}{~B}D
CHEMBL499864,2.94,Cn1cnc(c2ccccc2)c1C#Cc3ccnc(N)n3,26.0,Adrada{asaaaaas}arA^Aataada{D}dt
CHEMBL1610495,3.1,CNC(=O)c1cc(C(=O)c2ccc(Cl)cc2)c(Br)[nH]1,23.333333333333332,ADA{~B}araa{A{~B}asaaa{Z}aas}a{X}{dH}r
CHEMBL2325622,1.0,CN1CC(C1)n2nccc2c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)Nc5ncns5,58.333333333333336,ADrAA{Ar}dsdaaasataa{Z}aaatBauaa{G}a{aauG}E{~B}{~B}Davdadsv
CHEMBL1081627,4.1,Oc1ccc(Nc2nc(cs2)c3ccc(cc3)C#N)cc1,6.666666666666672,Baraaa{Dasda{ass}ataaa{aat}A^D}aar
CHEMBL198497,2.09,CCN(C1CCN(CCC(c2ccccc2)c3ccc(NC(=O)C)cc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,40.166666666666664,AAD{ArAAD{AAA{asaaaaas}ataaa{DA{~B}A}aat}AAr}A{~B}Aauaaa{aau}E{~B}{~B}A
CHEMBL453261,2.74,Cc1ccc(cc1)S(=O)(=O)c2ccccc2,29.33333333333333,Aaraaa{aar}E{~B}{~B}asaaaaas
CHEMBL2325987,2.4,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(F)cc4,35.0,AA{DA{~B}Ar{D}AAD{AAr}asdadat{dH}aaast}auaaa{G}aau
CHEMBL518760,2.52,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCCCC4,33.0,ABaraasdaa{A{~B}D}a{Dataaa{G}aatG}asaarDAADuAAAAAu
CHEMBL1917444,1.01,COc1ccc(Sc2c(C)n(CC(=O)O)c3ccc(C)cc23)cc1,58.166666666666664,ABaraaa{Easa{A}d{AA{~B}B}ataaa{A}aast}aar
CHEMBL1916281,1.21,CC(NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C,54.833333333333336,AA{DA{~B}ara{A}dd{arDE{~B}{~B}asaaa{A}aas}ataaaaat}A{A}{A}A
CHEMBL1917418,2.18,Cc1ccc2c(c1)c(Sc3ccc(Cl)cc3)c(C)n2CC(=O)O,38.666666666666664,Aaraaasa{ar}a{Eataaa{Z}aat}a{A}dsAA{~B}B
CHEMBL556667,3.4,Clc1cccc(NC(=O)c2ccccn2)c1,18.333333333333336,Zaraaaa{DA{~B}asaaaads}ar
CHEMBL1481,1.73,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O,46.166666666666664,AAAr~A{A}AD{A{~B}DAAasaaa{aas}E{~B}{~B}DA{~B}D{A**H}tAA{A**H}{A}AAt}Ar~B
CHEMBL1938681,3.0,Clc1ccc(cc1)c2oc(cc2)C(=O)N(Cc3ccccn3)c4ccc(cc4)N5CCNCC5,25.0,Zaraaa{aar}asba{aas}A{~B}D{Aataaaadt}auaaa{aau}DvAADAAv
CHEMBL559696,2.18,O=C1NC=Nc2scc(c3cccs3)c12,38.666666666666664,B~ArDA~Dassaa{ataaast}ars
CHEMBL2087853,4.02,CC(C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cncn6C)c3C1=O,8.000000000000007,AA{A}DrA{~B}D{AAsAAs}atdd{Aauaadavaaa{Z}aauv}a{awadadwA}atAr~B
CHEMBL567,3.6,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,14.999999999999998,BAADrAAD{AAADsataaaaatEauaaa{Z}aasu}AAr
CHEMBL2071095,1.4,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4nc5ncccc5s4,51.666666666666664,B~A{DAr{AAr}A^D}{A**H}sAAAA{A*H}sA{~B}DtAAD{AAt}audavdaaaavsu
CHEMBL256711,2.3,Nc1ccccc1NC(=O)c2ccc(cc2)c3nccs3,36.66666666666667,DaraaaaarDA{~B}asaaa{aas}atdaast
CHEMBL1682830,3.7,CCN1CCOc2cc(COc3ccccc3)cnc12,13.33333333333333,AADrAABasaa{ABataaaaat}adars
CHEMBL1649771,1.39,Nc1ncc([nH]1)c2ccc(F)cc2,51.83333333333334,Dardaa{{dH}r}asaaa{G}aas
CHEMBL402553,2.87,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc5ccccn5,27.166666666666668,Zaraa{Dasdadat{dH}da{BAADuAAAAu}ast}aaarBAavaaaadv
CHEMBL1645105,3.2,COc1ccc(cn1)c2ccc3nc(N)sc3c2,21.66666666666666,ABaraaa{adr}asaaatda{D}satas
CHEMBL2023704,2.08,COc1ccc(cc1)c2ccnc(N)n2,40.333333333333336,ABaraaa{aar}asaada{D}ds
CHEMBL2164682,2.66,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCc4[nH]c5ccccc5c4C3,30.666666666666668,B~A{DAr{AAr}A^D}{A**H}sAAAA{A*H}sA{~B}DtAAau{dH}avaaaaavauAt
CHEMBL1734492,3.3,NC(=O)NC(=O)C(Nc1ccc2CCCc2c1)c3ccccc3,20.000000000000004,DA{~B}DA{~B}A{DaraaasAAAasar}ataaaaat
CHEMBL1683038,2.35,COc1cc2nnc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1N4CCN(C)CC4,35.833333333333336,ABaraasdda{A{~B}D}a{Dataaaa{Z}atG}asaarDuAAD{A}AAu
CHEMBL2030443,1.0,CS(=O)(=O)Cc1cc(nc(n1)c2cccc(CO)c2)N3CCOCC3,58.333333333333336,AE{~B}{~B}Aaraa{da{dr}asaaaa{AB}as}DtAABAAt
CHEMBL213495,0.52,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)C#N,66.33333333333333,Aaraaasa{ar}a{a{A}dsAA{~B}B}ataadaua{aaaatu}A^D
CHEMBL1483,3.24,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,20.999999999999996,AAAEaraaasda{DA{~B}BA}{dH}asar
CHEMBL565755,2.4,CCOc1ccc2nc(N)sc2c1,35.0,AABaraaasda{D}sasar
CHEMBL1644358,2.78,N(c1ccccc1)c2ccnc3ccccc23,28.66666666666667,D{araaaaar}asaadataaaaast
CHEMBL284237,1.6,C[C@]12N[C@H](Cc3ccccc13)c4ccccc24,48.333333333333336,A{A*}rsD{A*H}{Aataaaaart}auaaaaasu
CHEMBL79537,1.93,COc1cc(ccc1Cn2ccc3ccc(cc23)C(=O)NCC4CCCC4)C(=O)NS(=O)(=O)c5ccccc5,42.833333333333336,ABaraa{aaarAdsaaataaa{aast}A{~B}DAAuAAAAu}A{~B}DE{~B}{~B}avaaaaav
CHEMBL274642,2.55,NC1=NN(CC1)c2cccc(c2)C(F)(F)F,32.50000000000001,DAr~DD{AAr}asaaaa{as}A{G}{G}G
CHEMBL1807872,-0.03,O[C@@H](CNCCCOCCNCCc1cccc(Cl)c1)c2ccc(O)c3NC(=O)Sc23,75.5,B{A**H}{ADAAABAADAAaraaaa{Z}ar}asaaa{B}atDA{~B}East
CHEMBL2036737,2.96,CC(C)(C(=O)Nc1oc(nn1)C(=O)Nc2ccc(cc2)N3CCOCC3)c4ccc(Cl)cc4,25.666666666666668,AA{A}{A{~B}Darba{ddr}A{~B}Dasaaa{aas}DtAABAAt}auaaa{Z}aau
CHEMBL1347379,3.79,Cc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(Cl)cc3,11.833333333333334,Aaraaa{aar}A{~B}DsAAA{AAs}A{~B}ataaa{Z}aat
CHEMBL72683,2.5,c1ccc(nc1)c2nc3ccccc3[nH]2,33.333333333333336,araaa{dar}asdataaaaat{dH}s
CHEMBL1946017,3.65,CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3ccc(F)cc3)CC2)c4cccnc4,14.16666666666667,AAD{AA}A{~B}araaa{aar}A{~AsAAD{Aataaa{G}aat}AAs}auaaadau
CHEMBL1083642,1.38,OC(=O)CO[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3,52.0,BA{~B}AB{A*H}r{A**H}{Aasaaaaars}DA{~B}ataausa{Z}a{Z}au{dH}t
CHEMBL2088259,3.5,COc1cc(CCc2cc(Nc3ccnc(NCc4ccccn4)n3)n[nH]2)cc(OC)c1,16.666666666666668,ABaraa{AAasaa{Dataada{DAauaaaadu}dt}d{dH}s}aa{BA}ar
CHEMBL202314,-0.04,[O-][N+](=O)c1cc(ccc1NCCSc2ccccc2)S(=O)(=O)NC(=O)c3ccc(cc3)N4CCNCC4,75.66666666666667,{BM}{DP}{~B}araa{aaarDAAEasaaaaas}E{~B}{~B}DA{~B}ataaa{aat}DuAADAAu
CHEMBL2152074,1.54,Nc1cc(nc2ccc(Nc3cc(nc(N)n3)c4ccc(cc4)C(F)(F)F)cc12)c5ccc(F)cc5,49.333333333333336,Daraa{dasaaa{Dataa{da{D}dt}auaaa{aau}A{G}{G}G}aars}avaaa{G}aav
CHEMBL499520,3.19,Fc1cnc(NC(=O)[C@H](CC2CCOCC2)c3ccc(cc3)S(=O)(=O)C4CC4)s1,21.833333333333332,Garada{DA{~B}{A*H}{AAsAABAAs}ataaa{aat}E{~B}{~B}AuAAu}sr
CHEMBL1229059,1.28,NC(=N)SCc1ccc(Cl)c(Cl)c1,53.666666666666664,DA{~D}EAaraaa{Z}a{Z}ar
CHEMBL1444,1.7,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3,46.666666666666664,D^Aaraaa{aar}A{asaaa{aas}A^D}dtadadt
CHEMBL218713,3.6,Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,14.999999999999998,Aaraaa{ABA{~B}DsAAA{ADatdaaadt}AAs}aar
CHEMBL205627,1.5,COC[C@H](C)Oc1cc(O[C@@H](C)Cc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,50.0,ABA{A*H}{A}Baraa{B{A**H}{A}Aasaaaaas}aa{ar}A{~B}Dataaa{adt}A{~B}B
CHEMBL1871428,0.82,Oc1ncc(NCc2ccccc2)c(O)n1,61.333333333333336,Bardaa{DAasaaaaas}a{B}dr
CHEMBL1340633,1.8,COc1cc(ccc1Nc2ccccc2C(=O)O)c3ccc(Nc4ccccc4C(=O)O)c(OC)c3,45.0,ABaraa{aaarDasaaaaasA{~B}B}ataaa{DauaaaaauA{~B}B}a{BA}at
CHEMBL8953,3.38,COc1cc(cc(OC)c1OC)C(=O)c2cc(Cl)ccc2N,18.666666666666668,ABaraa{aa{BA}arBA}A{~B}asaa{Z}aaasD
CHEMBL257176,1.58,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncccc3C#N,48.666666666666664,DaraaaaarDA{~B}asaaa{aas}atdaaaatA^D
CHEMBL95925,2.88,CN(C)CC1CCn2c(C1)c(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,27.0,AD{A}AArAAdsa{Ar}a{At~A{A{~B}DAt~B}auad{A}avaaaaauv}awaaaaasw
CHEMBL1070,3.06,COc1ccc2cc(CCC(=O)C)ccc2c1,24.0,ABaraaasaa{AAA{~B}A}aaasar
CHEMBL2169908,2.67,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)noc5c4,30.5,A{A**H}rAD{AADrA{~B}{A**H}sAAAA{A*H}sA{~B}DAt{AAt}A^D}auaaava{A}dbavau
CHEMBL1950721,1.49,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(Cc3ccccc3)C2,50.166666666666664,AD{A**H}{A}A{~B}D{A**H}{ArAAAAAr}A{~B}D{A*H}sAAD{Aataaaaat}As
CHEMBL333685,1.5,Oc1ccc(NC(=O)c2ccc(O)cc2)cc1,50.0,Baraaa{DA{~B}asaaa{B}aas}aar
CHEMBL33227,3.58,COC(=O)[C@H](Cc1ccc(cc1)[N+](=O)[O-])NC(=O)c2cccc3ccccc23,15.333333333333334,ABA{~B}{A*H}{Aaraaa{aar}{DP}{~B}{BM}}DA{~B}asaaaataaaaast
CHEMBL1706173,2.87,COc1cc(ccc1Nc2ncc3N(C)C(=O)CCN(C4CCCCC4)c3n2)C(=O)NC5CCN(C)CC5,27.166666666666668,ABaraa{aaarDasdaatD{A}A{~B}AAD{AuAAAAAu}atds}A{~B}DAvAAD{A}AAv
CHEMBL488084,2.39,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)N)n2,35.166666666666664,AA{A}dra{A}daarasaada{Dataaa{aat}A{~B}D}ds
CHEMBL1535688,-0.84,Cc1ccc(OCC(=O)O)c(c1)n2nc3ccccc3n2,89.0,Aaraaa{BAA{~B}B}a{ar}dsdataaaaatds
CHEMBL1231206,3.6,C[C@@H]1CNc2c(sc3ccc4nc(ccc4c23)c5ccc(C)nc5)C(=O)N1,14.999999999999998,A{A**H}rADasa{sataaauda{aaauast}avaaa{A}dav}A{~B}Dr
CHEMBL1718949,3.7,CC1=C(Cc2ccccc2)C(=O)n3nc(NCc4ccc(Cl)cc4)nc3N1,13.33333333333333,AAr~A{Aasaaaaas}A{~B}dtda{DAauaaa{Z}aau}datDr
CHEMBL1824043,0.9,Fc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,60.0,GaraaasBAA{~B}D{AADtAAA{AAt}DAauaaavBAA{~B}Davdu}asar
CHEMBL38688,3.2,N(c1ccccc1)c2ccccc2,21.66666666666666,D{araaaaar}asaaaaas
CHEMBL1770475,4.24,CSCCC(NC(=O)c1ccccc1)c2nc3ccccc3n2Cc4ccc(cc4)C#N,4.3333333333333295,AEAAA{DA{~B}araaaaar}asdataaaaatdsAauaaa{aau}A^D
CHEMBL2086684,3.33,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OC(C)(C)C,19.5,A{A**H}rAD{AADrasdaa{BAataadaatA^D}ads}A{~B}BA{A}{A}A
CHEMBL122617,2.5,Oc1cccc2ccccc12,33.333333333333336,Baraaaasaaaaars
CHEMBL1513816,3.14,CCN1CCN(CC1)C(=O)c2cc3cc(Cl)ccc3[nH]2,22.666666666666668,AADrAAD{AAr}A{~B}asaataa{Z}aaat{dH}s
CHEMBL2326624,1.61,COc1cccc2c1c(NS(=O)(=O)c3ccc(Cl)s3)nn2Cc4cccc(CNC(=O)[C@@H]5COCCN5)c4,48.16666666666666,ABaraaaasara{DE{~B}{~B}ataaa{Z}st}ddsAauaaaa{ADA{~B}{A**H}vABAADv}au
CHEMBL340450,1.66,COc1ccc2c(c1)cc(C(=O)O)n2Cc3ccc(Cl)c(Cl)c3,47.333333333333336,ABaraaasa{ar}aa{A{~B}B}dsAataaa{Z}a{Z}at
CHEMBL1223873,1.61,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,48.16666666666666,DA{~B}araaaa{B{A*H}sA{A*H}tAA{A**H}{As}DtAauaaaaau}ar
CHEMBL1242565,1.66,C[C@H](N)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)c2ccccc2,47.333333333333336,A{A*H}{D}A{~B}D{A**H}{AAaraaaaar}RA~ARE{~B}{~B}asaaaaas
CHEMBL2031168,0.07,CN1CCNc2nc(CCOc3ccc(C[C@H](NC(=O)c4c(Cl)cccc4Cl)C(=O)O)cc3)ccc12,73.83333333333333,ADrAADasda{AABataaa{A{A*H}{DA{~B}aua{Z}aaaauZ}A{~B}B}aat}aaars
CHEMBL1405928,3.22,C(Sc1nc2cccnc2[nH]1)c3ccccc3,21.333333333333332,A{Eardasaaadas{dH}r}ataaaaat
CHEMBL62136,4.5,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F,0.0,BA{araaa{aar}D{AA{G}{G}G}E{~B}{~B}asaaaaas}{A{G}{G}G}A{G}{G}G
CHEMBL1087399,2.26,C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(n1)N3CCOCC3)c4ncc(F)cn4,37.333333333333336,A{A*H}{Darda{Dasdaa{A^D}ss}aa{dr}DtAABAAt}audaa{G}adu
CHEMBL640,-0.92,CCN(CC)CCNC(=O)c1ccc(N)cc1,90.33333333333333,AAD{AA}AADA{~B}araaa{D}aar
CHEMBL373339,1.74,CC(C)Oc1cc(OCCc2ccsc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,46.0,AA{A}Baraa{BAAasaasas}aa{ar}A{~B}Dataaa{adt}A{~B}B
CHEMBL1995326,2.63,O=C(Nc1ccc(Nc2ccc(NC(=O)c3ccccc3)c4C(=O)c5ccccc5C(=O)c24)c6C(=O)c7ccccc7C(=O)c16)c8ccccc8,31.166666666666668,B~A{Daraaa{Dasaaa{DA{~B}ataaaaat}auA{~B}avaaaaavA{~B}asu}awA{~B}axaaaaaxA{~B}arw}ayaaaaay
CHEMBL184347,3.49,COc1ccc(cc1OC)C(=O)Nc2cc(NC(=O)c3cccc(c3)N(C)C)ccc2Br,16.83333333333333,ABaraaa{aarBA}A{~B}Dasaa{DA{~B}ataaaa{at}D{A}A}aaasX
CHEMBL441225,1.5,COc1ccccc1CN[C@H]2CCCN[C@H]2c3ccccc3,50.0,ABaraaaaarAD{A*H}sAAAD{A*H}sataaaaat
CHEMBL1258166,0.07,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC4CC4)c1,73.83333333333333,DA{~B}araaaa{B{A**H}sA{A*H}tAA{A**H}{As}DtAAuAAu}ar
CHEMBL113187,2.38,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)OCc3cc(C)nc(C)c3)C(=O)C(F)(F)F,35.333333333333336,AA{A}A{DA{~B}ADrA{~B}A{~AA~Arasaaaaas}DA{~B}BAataa{A}da{A}at}A{~B}A{G}{G}G
CHEMBL73243,3.41,COCCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1,18.166666666666664,ABAAADE{~B}{~B}araaa{Dasdaaa{ds}atadauaaaadtu}aar
CHEMBL211456,-1.15,CN[C@@H](C)[C@H](O)c1ccccc1,94.16666666666667,AD{A**H}{A}{A*H}{B}araaaaar
CHEMBL2163586,3.75,FC(F)(F)c1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,12.5,GA{G}{G}araaaasatAD{AAat{dH}ars}A{~B}{A**H}uAAAA{A*H}uA{~B}DAv{AAv}A^D
CHEMBL2031164,0.6,OC(=O)[C@H](Cc1ccc(OCCNc2nc3ccccc3[nH]2)cc1)NC(=O)c4c(Cl)cccc4Cl,65.0,BA{~B}{A*H}{Aaraaa{BAADasdataaaaat{dH}s}aar}DA{~B}aua{Z}aaaauZ
CHEMBL406852,-0.58,COc1nc(N)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,84.66666666666667,ABarda{D}dasardads{A**H}tB{A*H}{AB}{A**H}{B}{A*H}tB
CHEMBL1172928,1.69,C[C@@H]1NC(C)(C)CO[C@@]1(O)c2cccc(Cl)c2,46.833333333333336,A{A**H}rDA{A}{A}AB{A**}r{B}asaaaa{Z}as
CHEMBL1951893,2.67,CCN(C1CCN(CCC(N2CCN(CC2)c3ccccc3)c4ccccc4)CC1)C(=O)Cc5ccc(cc5)S(=O)(=O)C,30.5,AAD{ArAAD{AAA{DsAAD{AAs}ataaaaat}auaaaaau}AAr}A{~B}Aavaaa{aav}E{~B}{~B}A
CHEMBL2164675,-0.1,CN1CCN(CC1)C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N,76.66666666666666,ADrAAD{AAr}A{~B}{A**H}sAAAA{A*H}sA{~B}DAA^D
CHEMBL2326686,1.33,Fc1ccc(cc1Cl)C2CNCC=CC2,52.833333333333336,Garaaa{aarZ}AsADAA~AAs
CHEMBL1209655,3.36,Clc1cc(Cl)cc(c1)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,19.000000000000004,Zaraa{Z}aa{ar}E{~B}{~B}DAA{DsAAAAAAs}ataaaaat
CHEMBL2325707,1.9,CN1CCC(CC1)(c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5)S(=O)(=O)C,43.333333333333336,ADrAAA{AAr}{asaa{da{ds}ataaaau{dH}aaatu}DvAABAAv}E{~B}{~B}A
CHEMBL188369,3.14,C[C@@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,22.666666666666668,A{A**H}{DA{~B}araaadarBasaaaaas}ataaaaat
